,PPQRS,Op No. 86,Op No. 189,Op No. 87,Op No. 64,Op No. 3,Op No. 23,Op No. 106,Op No. 107,Op No. 34,Average Periodic Score,
,Overall PPQRS Scores,80.2,99.2,98.8,99.4,92.1,93.3,94.9,99.7,100.0,      95.3      ,      79.4      
,Lamina Line,100.0,100.0,100.0,100.0,99.8,90.5,90.9,100.0,100.0,      97.9      ,
,Conditioning & Casing,100.0,100.0,100.0,100.0,100.0,83.7,84.2,100.0,100.0,      96.4      ,
,Cutting & Drying,95.6,95.6,95.6,95.6,95.3,95.6,95.6,95.6,95.6,      95.6      ,
,Stem and Addback Line,74.3,98.6,96.7,100.0,87.0,94.5,99.0,99.1,100.0,      94.4      ,
,Conditioning,83.5,100.0,98.8,100.0,74.9,100.0,95.9,97.5,100.0,      94.5      ,
,Cutting & Drying,67.4,100.0,94.1,100.0,95.1,100.0,100.0,99.2,100.0,      95.1      ,
,Addback,94.7,96.2,100.0,100.0,97.7,88.0,100.0,100.0,100.0,      97.4      ,
,"Mixing, Flavoring and Delivery Line",75.6,98.7,100.0,97.5,90.9,98.3,100.0,100.0,100.0,      95.7      ,
,M&F,100.0,98.1,100.0,92.1,86.0,100.0,100.0,100.0,100.0,      97.4      ,
,CT Bin,100.0,98.0,100.0,100.0,89.6,96.5,100.0,100.0,100.0,      98.2      ,
,CTS,64.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,      96.0      ,
,,,,,,,,,,,,
Serial No.,PPQRS Parameters,Op No. 86,Op No. 189,Op No. 87,Op No. 64,Op No. 3,Op No. 23,Op No. 106,Op No. 107,Op No. 34,   Avg. Parameter Score   ,
,,CSKST   ,TFPMST  ,CSKST   ,CRKST   ,TFST    ,YTST    ,CAST    ,CAST    ,CJQST   ,,
,,5/4/2018,5/4/2018,5/4/2018,5/4/2018,5/4/2018,5/5/2018,5/5/2018,5/6/2018,5/6/2018,,
1,INCOMING LEAF - MOISTURE MEAN,100.0,100.0,100.0,100.0,100.0,80.3,100.0,100.0,100.0,97.8,
2,CASING APPLICATION CONSISTENCY,100.0,100.0,100.0,100.0,100.0,100.0,69.7,100.0,100.0,96.6,
3,LAMINA CUTTER -  MOISTURE MEAN,100.0,100.0,100.0,100.0,100.0,73.4,100.0,100.0,100.0,97.0,
4,LAMINA CUTTER - MOISTURE SD,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
5,PRODUCT TEMPERATURE - EX DCCC,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
6,LAMINA CUTTER CPI,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
7,HT EXPANSION,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
8,PRODUCT TEMPERATURE - EX-HT,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
9,LAMINA DRIER - MOISTURE MEAN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
10,LAMINA DRIER - MOISTURE SD,100.0,100.0,100.0,100.0,98.2,100.0,100.0,100.0,100.0,99.8,
11,PRODUCT TEMPERATURE - EX-LAMINA DRIER,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
12,LAID DOWN STEM - MOISTURE MEAN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
13,EX STEM CUTTER - MOISTURE MEAN,80.2,100.0,100.0,100.0,64.4,100.0,100.0,100.0,100.0,93.8,
14,EX STEM CUTTER - MOISTURE SD,78.0,100.0,96.1,100.0,98.4,100.0,89.1,92.4,100.0,94.9,
15,PRODUCT TEMPERATURE - EX ADMOIST,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
16,STEM CUTTER CPI (WEEKLY ONCE),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
17,STS EXPANSION,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
18,PRODUCT TEMPERATURE - EX STS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
19,EX STEM DRIER - MOISTURE MEAN,47.0,100.0,80.7,100.0,100.0,100.0,100.0,100.0,100.0,92.0,
20,EX STEM DRIER - MOISTURE SD,100.0,100.0,100.0,100.0,82.6,100.0,100.0,95.4,100.0,97.6,
21,PRODUCT TEMPERATURE - EX-STEM DRIER,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
22,KNOCKOUTS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
23,EX ADD BACK BIN - MOISTURE MEAN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
24,EX ADD BACK BIN - MOISTURE SD,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
25,EX-ADD BACK BIN - QR MEAN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
26,EX-ADD BACK BIN - FILL VALUE MEAN,84.3,87.7,100.0,100.0,91.3,83.3,100.0,100.0,100.0,94.1,
27,SMALLS - DUST %,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
28,SMALLS - MOISTURE MEAN,100.0,100.0,100.0,100.0,100.0,71.8,100.0,100.0,100.0,96.9,
29,EX-FLAVOR CYLINDER MOISTURE MEAN,100.0,100.0,100.0,100.0,75.4,100.0,100.0,100.0,100.0,97.3,
30,EX-FLAVOR CYLINDER MOISTURE SD,100.0,94.3,100.0,82.7,95.5,100.0,100.0,100.0,100.0,96.9,
31,FLAVOUR APPLICATION CONSISTENCY,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
32,EX CT BIN - MOISTURE MEAN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
33,EX CT BIN - MOISTURE SD,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
34,EX CT BIN - QR MEAN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
35,EX CT BIN - FILL VALUE MEAN,100.0,94.0,100.0,100.0,79.0,90.4,100.0,100.0,100.0,95.9,
36,CTS EXIT - MOISTURE MEAN,53.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.8,
37,CTS EXIT - MOISTURE SD,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
38,CTS EXIT - QR MEAN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
